tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,relevancia,descrption,img_link
tt0075314,movie,Taxi Driver,Taxi Driver,1976,"Crime,Drama",8.2,875185,7176516.999999999,"Um veterano de guerra com problemas mentais trabalha de noite como condutor de táxi na cidade de Nova Iorque, onde experimenta violência e perigo ao tentar ajudar um trabalhador e uma prosti... Ler tudo","https://m.media-amazon.com/images/M/MV5BMzJhZTNmOTQtN2E5Yy00OTc3LTg2ZjctNGQxNjRkMTZmZTRkXkEyXkFqcGdeQXRodW1ibmFpbC1pbml0aWFsaXplcg@@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0435761,movie,Toy Story 3,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,863143,7164086.9,"Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.","https://m.media-amazon.com/images/M/MV5BMTAyNDYwMjU3NTVeQTJeQWpwZ15BbWU4MDY5NDcwMjMx._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt3659388,movie,The Martian,The Martian,2015,"Adventure,Drama,Sci-Fi",8.0,887086,7096688.0,"Um astronauta fica preso em Marte, enquanto sua equipe pensa que ele morreu. Ele vai fazer o possível para tentar enviar um sinal até a Terra.","https://m.media-amazon.com/images/M/MV5BMjIyOTA4MDQxNV5BMl5BanBnXkFtZTgwMTg1MDA2NjE@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,1971,"Crime,Sci-Fi",8.3,854094,7088980.2,"No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.","https://m.media-amazon.com/images/M/MV5BMTI1OTgxOWQtYjFiMS00MDkxLWI4ZGItN2Q0ZWM3ZTNhZmIxXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966,"Adventure,Western",8.8,783703,6896586.4,Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,"https://m.media-amazon.com/images/M/MV5BYjJmYTNmZDItNjExOS00MmY3LWEwMjgtNjQ3M2M2YjA1MDRkXkEyXkFqcGdeQTNwaW5nZXN0._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,2008,"Crime,Drama,Romance",8.0,861908,6895264.0,"Um adolescente de Mumbai reflete sobre sua vida depois de ser acusado de enganar a versão indiana de ""Quem quer ser um milionário?""","https://m.media-amazon.com/images/M/MV5BMTQ3MjQzNzU2MV5BMl5BanBnXkFtZTgwOTEzOTYzMzE@._V1_QL75_UY281_CR88,0,500,281_.jpg"
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,2001,"Adventure,Animation,Family",8.6,800589,6885065.399999999,"Durante a mudança de casa, uma menina de dez anos se maravilha num mundo de dioses, bruxas e espíritus e onde os humanos são transformados em bestas.","https://m.media-amazon.com/images/M/MV5BMzZjOWEyNTEtNjhmMC00YmZlLTkyMzAtM2Y5MzFjYmJlODIzXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime",8.1,849377,6879953.699999999,"As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.","https://m.media-amazon.com/images/M/MV5BMTgxODI4OTU3N15BMl5BanBnXkFtZTgwODgzNDMzMTE@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt1392170,movie,The Hunger Games,The Hunger Games,2012,"Action,Adventure,Sci-Fi",7.2,955319,6878296.8,"Katmiss Everden voluntariamente se ofreçe no lugar da sua irmã nos Jogos Vorazes, uma competição once jovens de cada um dos distritos de Panem são escolhidos aleatoriamente para brigar.","https://m.media-amazon.com/images/M/MV5BMTM0NjQ4OTgyNV5BMl5BanBnXkFtZTcwOTU2MzQ4Nw@@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",7.8,873651,6814477.8,"Steve Roger se junta com a Viúva Negra para tentar deter uma nouva ameaça, um assasino conhecido como Soldado Invernal.","https://m.media-amazon.com/images/M/MV5BNDQ2OTA4NzIzOV5BMl5BanBnXkFtZTgwMTI5NTAxMTE@._V1_QL75_UX500_CR0,46,500,281_.jpg"
tt0118715,movie,The Big Lebowski,The Big Lebowski,1998,"Comedy,Crime",8.1,832988,6747202.8,"Jeff The Dude Lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.","https://m.media-amazon.com/images/M/MV5BZWE4NDhjMzItM2RhNC00Njk5LWEyZjQtMGY0MjEyYWQ1NGFlXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt10872600,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.2,817460,6703171.999999999,"Com a identidade do Homem-Aranha revelada, Peter pede ajuda ao Doutor Strange. Quando um feitiço corre mal, inimigos perigosos de outros mundos começam a aparecer, forçando Peter a descobrir... Ler tudo","https://m.media-amazon.com/images/M/MV5BYjU3Mjk2N2ItYjFiMS00MjE1LWFkZDUtZjVjNDc0MjI2N2M4XkEyXkFqcGdeQWRpZWdtb25n._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt1663202,movie,The Revenant,The Revenant,2015,"Action,Adventure,Drama",8.0,835775,6686200.0,"Em uma expedição de comércio de peles em 1820, um homem luta para sobreviver depois de ser atacado por um urso e dado como morto por seu próprio grupo de caça.","https://m.media-amazon.com/images/M/MV5BMTc5MDgwMDYxMV5BMl5BanBnXkFtZTgwNDQ3MDczNzE@._V1_QL75_UX500_CR0,0,500,281_.jpg"
tt0317248,movie,City of God,Cidade de Deus,2002,"Crime,Drama",8.6,776538,6678226.8,"Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.","https://m.media-amazon.com/images/M/MV5BNTQzY2M4ZTctZWRjZS00NzlmLWI4YzgtMDUzZGU5YjlmYzkxXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",7.8,848542,6618627.6,"O relutante hobbit, Bilbo Baggins, va numa viagem com um team de anões para recuperar sua casa na montanha e o ouro dentro dela, do dragão Smaug.","https://m.media-amazon.com/images/M/MV5BNzQzNDczNTYwOV5BMl5BanBnXkFtZTcwMzA3ODk0OA@@._V1_QL75_UX500_CR0,47,500,281_.jpg"
tt0246578,movie,Donnie Darko,Donnie Darko,2001,"Drama,Mystery,Sci-Fi",8.0,824922,6599376.0,Un adolescente é atormentado com visões dum homem num terno de coelho quem o manipula a fazer crimes.,"https://m.media-amazon.com/images/M/MV5BODhiOWQ2NTItOTMxMy00NTNlLWFhOWYtMjFiNzdjYjg4NjY2XkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_QL75_UX500_CR0,47,500,281_.jpg"
